kind,resref,name,tag,appearance,model,source
door,sw_door_per014,Airlock Inner Door {104PER},AirlockInnerDoor_103PER,0,T_DOOR01,103PER_s
door,sw_door_201_001,Airlock {Generic},Airlock,0,T_DOOR01,201TEL_s
door,d_203_a1,Apartment A1,door_a1,0,T_DOOR01,203TEL_s
door,apartment_a2,Apartment A2,Apartment,0,T_DOOR01,203TEL_s
door,sw_door_falt,Apartment A3{Falt},Apartment_Falt,0,T_DOOR01,203TEL_s
door,apartment_b1,Apartment B1,Apartment,0,T_DOOR01,203TEL_s
door,door_203chano,Apartment B2{Chano},Apartment,0,T_DOOR01,203TEL_s
door,dr_telos_meeting,Apartment B3{Meeting},door_meeting,0,T_DOOR01,203TEL_s
door,d_apartmentc1,Apartment C1{Batono},d_apartmentc1,0,T_DOOR01,203TEL_s
door,apartment_c2,Apartment C2,Apartment,0,T_DOOR01,203TEL_s
door,adoor_intro,Apartment C3{Intro},adoor_intro,0,T_DOOR01,203TEL_s
door,door_203aptcmp_a,Apartment Complex A,ComplexA,0,T_DOOR01,203TEL_s
door,door_203aptcmp_b,Apartment Complex B,ComplexB,0,T_DOOR01,203TEL_s
door,door_203aptcmp_c,Apartment Complex C,ComplexC,0,T_DOOR01,203TEL_s
door,audienceroomdoor,Audience Room Door,AudienceDoor,0,T_DOOR01,351NAR_s
door,se_door,Barrier,se_door,0,T_DOOR01,411DXN_s
door,sw_door,Barrier,sw_door,0,T_DOOR01,411DXN_s
door,door_tel009,Bay Control,Door_BC,0,T_DOOR01,232TEL_s
door,sw_door_telos001,Bay Control,dBayControl,0,T_DOOR01,201TEL_s
door,sw_door_telos002,Bay Control {1},dBayControl,0,T_DOOR01,201TEL_s
door,sw_door_201_002,Bay I Airlock,Airlock1,0,T_DOOR01,201TEL_s
door,d_airlock2a001,Bay I Airlock {2},Airlock1a,0,T_DOOR01,201TEL_s
door,sw_door_201_003,Bay II Airlock,Airlock2,0,T_DOOR01,201TEL_s
door,d_airlock2a,Bay II Airlock {2},Airlock2a,0,T_DOOR01,201TEL_s
door,sw_door_201_004,Bay III Airlock,Airlock3,0,T_DOOR01,201TEL_s
door,d_airlock3a,Bay III Airlock {2},Airlock3a,0,T_DOOR01,201TEL_s
door,door_per007,Blast Containment Field {1},FFDoor1,0,T_DOOR01,102PER_s
door,door_per008,Blast Containment Field {2},FFDoor2,0,T_DOOR01,102PER_s
