body,head,head_bone,eye_nodes,eye_x,eye_y,eye_z,eyel_x,eyer_x,camerahook_x,camerahook_y,camerahook_z,headhook_x,headhook_y,headhook_z,ipd,note
P_BastilaBB,P_BastilaH,headhook,eyeLA/eyeRA,-0.00000,0.05843,1.59522,-0.03115,0.03114,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06228,
P_BastilaBA,P_BastilaH,headhook,,,,,,,,,,,,,,body model not found
PFBCM,P_BastilaH,headhook,eyeLA/eyeRA,-0.00000,0.05843,1.59522,-0.03115,0.03114,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06228,
PFBDM,P_BastilaH,headhook,eyeLA/eyeRA,-0.00000,0.05843,1.59522,-0.03115,0.03114,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06228,
PFBEM,P_BastilaH,headhook,eyeLA/eyeRA,-0.00000,0.05843,1.59522,-0.03115,0.03114,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06228,
PFBFM,P_BastilaH,headhook,eyeLA/eyeRA,-0.00000,0.05843,1.59522,-0.03115,0.03114,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06228,
PFBGM,P_BastilaH,headhook,eyeLA/eyeRA,-0.00000,0.05843,1.59522,-0.03115,0.03114,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06228,
PFBHM,P_BastilaH,headhook,eyeLA/eyeRA,-0.00000,0.05843,1.59522,-0.03115,0.03114,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06228,
K1_PFBIM,P_BastilaH,headhook,eyeLA/eyeRA,-0.00000,0.05843,1.59522,-0.03115,0.03114,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06228,
PFBJM,P_BastilaH,headhook,eyeLA/eyeRA,-0.00000,0.05843,1.59522,-0.03115,0.03114,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06228,
PFBKM,P_BastilaH,headhook,eyeLA/eyeRA,0.00155,0.05889,1.59522,-0.02959,0.03270,0.00217,0.13053,1.59312,0.00156,0.00046,1.45000,0.06228,
PFBMM,P_BastilaH,headhook,eyeLA/eyeRA,-0.00278,0.06034,1.59449,-0.03392,0.02836,-0.00227,0.14453,1.58149,-0.00278,0.00191,1.44928,0.06228,
PFBIM,P_BastilaH,headhook,eyeLA/eyeRA,-0.00060,0.07836,1.59449,-0.03174,0.03054,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,0.06228,
P_CandBB,p_CandH,headhook,,,,,,,,,,,,,,body model not found
P_CandBA,p_CandH,headhook,,,,,,,,,,,,,,body model not found
PMBCL,p_CandH,headhook,,,,,,,0.00029,0.02126,1.67967,0.00000,-0.01855,1.56766,,head model not found
PMBDL,p_CandH,headhook,,,,,,,0.00000,0.02126,1.67967,0.00000,-0.01855,1.56766,,head model not found
PMBEL,p_CandH,headhook,,,,,,,0.00029,0.02126,1.67967,0.00000,-0.01855,1.56766,,head model not found
PMBFL,p_CandH,headhook,,,,,,,0.00029,0.02126,1.67967,0.00000,-0.01855,1.56779,,head model not found
PMBGL,p_CandH,headhook,,,,,,,0.00029,0.02126,1.67967,0.00000,-0.01855,1.56766,,head model not found
PMBHL,p_CandH,headhook,,,,,,,0.00029,0.02126,1.67967,0.00008,-0.01855,1.56766,,head model not found
PMBIL,p_CandH,headhook,,,,,,,0.00029,0.02126,1.67967,0.00000,-0.01855,1.56766,,head model not found
PMBJL,p_CandH,headhook,,,,,,,0.00029,0.02159,1.67975,0.00000,-0.01855,1.56766,,head model not found
PMBKM,p_CandH,headhook,,,,,,,0.00029,0.15735,1.71264,0.00000,-0.00000,1.55000,,head model not found
PMBML,p_CandH,headhook,,,,,,,,,,,,,,body model not found
PMBNM,p_CandH,headhook,,,,,,,0.00029,0.09728,1.64929,0.00000,-0.00965,1.54500,,head model not found
P_CarthBB,p_CarthH,headhook,eyeLA/eyeRA,0.00000,0.06630,1.67015,-0.02693,0.02693,0.00029,0.02068,1.63392,0.00008,-0.01800,1.52500,0.05386,
P_CarthBA,p_CarthH,headhook,,,,,,,,,,,,,,body model not found
